w1,w2,x1,x2,x3,x4,wC,xB,item,person,epsilon_in,epsilon_out,zeta_in,zeta_out,y,y_newpersons,y_newitems,y_newboth
0,0,1,0,1,1,0,.5,15,1,0,0,-.11068676,.097449213,0,1,1,0
0,0,1,1,1,0,0,0,26,1,0,0,-.11068676,.097449213,0,0,0,1
0,0,1,1,1,1,0,.5,29,1,0,0,-.11068676,.097449213,1,0,0,0
0,0,1,0,0,0,0,-.5,2,1,0,0,-.11068676,.097449213,1,0,1,1
0,0,1,1,1,1,0,.5,31,1,0,0,-.11068676,.097449213,1,1,0,0
0,0,1,0,0,1,0,0,6,1,0,0,-.11068676,.097449213,1,1,1,0
0,0,1,1,0,1,0,.5,21,1,0,0,-.11068676,.097449213,0,1,0,1
0,0,1,0,1,1,0,.5,14,1,0,0,-.11068676,.097449213,1,0,0,0
0,0,1,1,0,1,0,.5,24,1,0,0,-.11068676,.097449213,1,1,0,0
0,0,1,0,0,1,0,0,8,1,0,0,-.11068676,.097449213,0,1,1,1
0,0,1,0,1,0,0,0,11,1,0,0,-.11068676,.097449213,0,1,0,1
0,0,1,1,0,1,0,.5,22,1,0,0,-.11068676,.097449213,1,0,0,0
0,0,1,0,1,1,0,.5,13,1,0,0,-.11068676,.097449213,0,1,0,1
0,0,1,0,1,0,0,0,12,1,0,0,-.11068676,.097449213,0,1,1,0
0,0,1,0,1,0,0,0,9,1,0,0,-.11068676,.097449213,0,1,0,1
0,0,1,0,1,0,0,0,10,1,0,0,-.11068676,.097449213,0,0,0,1
0,0,1,1,1,0,0,0,28,1,0,0,-.11068676,.097449213,1,1,1,1
0,0,1,1,0,1,0,.5,23,1,0,0,-.11068676,.097449213,0,0,0,0
0,0,1,1,0,0,0,0,17,1,0,0,-.11068676,.097449213,0,1,0,0
0,0,1,0,0,1,0,0,5,1,0,0,-.11068676,.097449213,1,1,0,1
0,0,1,0,0,0,0,-.5,1,1,0,0,-.11068676,.097449213,1,1,1,0
0,0,1,1,1,1,0,.5,30,1,0,0,-.11068676,.097449213,0,0,0,1
0,0,1,1,1,0,0,0,27,1,0,0,-.11068676,.097449213,1,0,0,0
0,0,1,1,0,0,0,0,18,1,0,0,-.11068676,.097449213,1,0,0,1
0,0,1,0,1,1,0,.5,16,1,0,0,-.11068676,.097449213,1,0,0,1
0,0,1,0,0,0,0,-.5,4,1,0,0,-.11068676,.097449213,0,0,0,0
0,0,1,0,0,0,0,-.5,3,1,0,0,-.11068676,.097449213,0,0,1,0
0,0,1,1,1,0,0,0,25,1,0,0,-.11068676,.097449213,1,0,1,1
0,0,1,1,0,0,0,0,19,1,0,0,-.11068676,.097449213,0,1,1,0
0,0,1,1,0,0,0,0,20,1,0,0,-.11068676,.097449213,0,1,1,1
0,0,1,0,0,1,0,0,7,1,0,0,-.11068676,.097449213,1,0,0,0
0,0,1,1,1,1,0,.5,32,1,0,0,-.11068676,.097449213,1,0,0,1
0,0,1,0,0,1,0,0,6,2,0,0,-1.8468649,1.4666787,0,1,0,1
0,0,1,1,0,0,0,0,19,2,0,0,-1.8468649,1.4666787,1,1,0,1
0,0,1,1,1,1,0,.5,32,2,0,0,-1.8468649,1.4666787,1,1,0,1
0,0,1,0,0,0,0,-.5,2,2,0,0,-1.8468649,1.4666787,0,0,0,1
0,0,1,1,0,1,0,.5,21,2,0,0,-1.8468649,1.4666787,1,1,0,1
0,0,1,0,1,0,0,0,12,2,0,0,-1.8468649,1.4666787,1,1,1,1
0,0,1,0,1,0,0,0,11,2,0,0,-1.8468649,1.4666787,0,1,0,1
0,0,1,0,0,0,0,-.5,3,2,0,0,-1.8468649,1.4666787,1,1,0,1
0,0,1,1,0,1,0,.5,22,2,0,0,-1.8468649,1.4666787,0,0,0,1
0,0,1,1,1,1,0,.5,29,2,0,0,-1.8468649,1.4666787,0,1,0,1
0,0,1,0,0,0,0,-.5,4,2,0,0,-1.8468649,1.4666787,0,1,0,0
0,0,1,1,0,1,0,.5,23,2,0,0,-1.8468649,1.4666787,0,0,0,1
0,0,1,0,0,0,0,-.5,1,2,0,0,-1.8468649,1.4666787,1,1,1,1
0,0,1,0,0,1,0,0,5,2,0,0,-1.8468649,1.4666787,0,1,0,1
0,0,1,0,0,1,0,0,7,2,0,0,-1.8468649,1.4666787,0,1,0,1
0,0,1,1,0,1,0,.5,24,2,0,0,-1.8468649,1.4666787,0,1,0,1
0,0,1,1,1,1,0,.5,30,2,0,0,-1.8468649,1.4666787,0,1,0,1
0,0,1,1,1,0,0,0,28,2,0,0,-1.8468649,1.4666787,0,1,0,1
0,0,1,1,0,0,0,0,20,2,0,0,-1.8468649,1.4666787,0,1,0,1
0,0,1,0,1,0,0,0,10,2,0,0,-1.8468649,1.4666787,0,0,0,1
0,0,1,0,1,1,0,.5,15,2,0,0,-1.8468649,1.4666787,0,0,0,1
0,0,1,1,1,0,0,0,26,2,0,0,-1.8468649,1.4666787,0,1,0,1
0,0,1,1,1,0,0,0,25,2,0,0,-1.8468649,1.4666787,0,1,0,1
0,0,1,0,1,0,0,0,9,2,0,0,-1.8468649,1.4666787,1,1,0,1
0,0,1,1,1,1,0,.5,31,2,0,0,-1.8468649,1.4666787,0,0,0,0
0,0,1,0,1,1,0,.5,16,2,0,0,-1.8468649,1.4666787,0,1,0,1
0,0,1,0,1,1,0,.5,14,2,0,0,-1.8468649,1.4666787,0,1,0,1
0,0,1,0,0,1,0,0,8,2,0,0,-1.8468649,1.4666787,0,0,1,1
0,0,1,1,1,0,0,0,27,2,0,0,-1.8468649,1.4666787,1,1,0,1
0,0,1,1,0,0,0,0,17,2,0,0,-1.8468649,1.4666787,0,1,0,1
0,0,1,1,0,0,0,0,18,2,0,0,-1.8468649,1.4666787,0,0,0,1
0,0,1,0,1,1,0,.5,13,2,0,0,-1.8468649,1.4666787,0,1,0,0
0,0,1,1,1,0,0,0,27,3,0,0,.6255222,-1.3706917,1,0,1,0
0,0,1,1,0,1,0,.5,22,3,0,0,.6255222,-1.3706917,0,1,0,0
0,0,1,1,0,1,0,.5,24,3,0,0,.6255222,-1.3706917,1,0,1,0
0,0,1,1,1,1,0,.5,30,3,0,0,.6255222,-1.3706917,0,0,0,0
0,0,1,1,1,1,0,.5,32,3,0,0,.6255222,-1.3706917,1,0,0,0
0,0,1,1,1,0,0,0,25,3,0,0,.6255222,-1.3706917,1,0,1,0
0,0,1,0,1,1,0,.5,15,3,0,0,.6255222,-1.3706917,1,0,1,0
