seed,condition,tau,nitems,npersons,insample,aic,bic,newpersons,newitems,newboth,failures,model
968401072,1,0,32,500,19817.92794184379,19831.92794184379,19885.69034985235,19835.42525864657,19825.37721598052,19837.01425205007,0,1
205289531,2,.1,32,500,19811.5328288545,19825.5328288545,19879.29523686306,19829.72780581927,19820.83027211553,19851.34731387761,0,1
915507095,3,.3,32,500,19199.08006729816,19213.08006729816,19266.84247530672,19211.13226575014,19234.9826447594,19226.48321449712,0,1
333552304,4,.5,32,500,20005.55863632893,20019.55863632893,20073.32104433748,20020.77180302172,20135.11386443694,20153.45565950928,0,1
610275096,5,.3,64,500,38105.19648651886,38119.19648651886,38177.81092479133,38112.68946777532,38138.96577005795,38127.55719873415,0,1
98364999,6,.3,96,500,56949.54254154157,56963.54254154157,57024.99523557079,56981.59812896282,57002.05514055386,57035.04291136246,0,1
748559073,7,.3,128,500,76522.62509297635,76536.62509297635,76600.09156151275,76527.70605326205,76564.58868628436,76557.99514426301,0,1
799218248,1,0,32,500,19379.22777064364,19393.22777064364,19446.9901786522,19391.55125764106,19387.12447128447,19384.92985609412,0,1
940694578,2,.1,32,500,19234.69507155353,19248.69507155353,19302.45747956208,19244.58265834416,19251.88330803156,19264.01794906346,0,1
237516937,3,.3,32,500,19383.14096243034,19397.14096243034,19450.90337043889,19387.18548113318,19444.27901096348,19418.52390345866,0,1
925530317,4,.5,32,500,19240.5843065392,19254.5843065392,19308.34671454776,19253.23766255002,19320.98531151746,19335.24035790885,0,1
537382352,5,.3,64,500,38473.38617567983,38487.38617567983,38546.0006139523,38484.2819526075,38564.60597791087,38585.76418271137,0,1
570902933,6,.3,96,500,56540.3268623738,56554.3268623738,56615.77955640302,56550.12653233706,56591.58582469707,56592.40385300151,0,1
661267504,7,.3,128,500,76676.10458142562,76690.10458142562,76753.57104996202,76687.84771794989,76717.93074039889,76718.95507817878,0,1
125993527,1,0,32,500,19552.33722153904,19566.33722153904,19620.09962954759,19563.15043570578,19576.03386158676,19557.11862064806,0,1
962813161,2,.1,32,500,19473.00062482325,19487.00062482325,19540.7630328318,19485.14893727526,19484.02267049309,19484.78531140874,0,1
475269782,3,.3,32,500,19651.71160561408,19665.71160561408,19719.47401362264,19663.13651737804,19699.86101676383,19689.52109513874,0,1
170731381,4,.5,32,500,19220.99405777275,19234.99405777275,19288.75646578131,19235.59388716256,19340.93888421925,19366.7136281088,0,1
801017733,5,.3,64,500,38465.90705645339,38479.90705645339,38538.52149472587,38472.49137630741,38515.10778715468,38551.15688005124,0,1
960073780,6,.3,96,500,56778.05366623269,56792.05366623269,56853.50636026191,56794.66945887516,56802.29758546921,56805.86524034642,0,1
75886783,7,.3,128,500,75900.74302384333,75914.74302384333,75978.20949237973,75918.36312546006,76032.7745946408,76001.18596603411,0,1
309070431,1,0,32,500,19329.36661129256,19343.36661129256,19397.12901930112,19332.86567942614,19334.74745142032,19334.35383105081,0,1
422198608,2,.1,32,500,19237.60831561264,19251.60831561264,19305.3707236212,19252.25847996632,19257.36873242923,19286.86165153612,0,1
658594464,3,.3,32,500,19848.37368978332,19862.37368978332,19916.13609779188,19858.62520238746,19937.27058590718,19909.18532157075,0,1
